,date,code,open,high,low,close
0,2020-02-24,sh.000001,3027.8920,3042.1820,3007.3550,3031.2330
0,2020-02-24,sh.000002,3172.9580,3187.9740,3151.4390,3176.4800
0,2020-02-24,sh.000003,245.0000,245.2140,243.0320,244.5120
0,2020-02-24,sh.000004,2457.8000,2476.3050,2440.0790,2468.8240
0,2020-02-24,sh.000005,2902.9510,2941.0290,2897.2720,2924.5030
0,2020-02-24,sh.000006,6622.7380,6623.0850,6503.4580,6552.3450
0,2020-02-24,sh.000007,4646.9280,4648.7350,4590.4850,4616.1260
0,2020-02-24,sh.000008,2841.9340,2847.9450,2824.0960,2834.4700
0,2020-02-24,sh.000009,5021.7130,5091.5510,4992.8970,5076.6010
0,2020-02-24,sh.000010,8729.9320,8742.2260,8655.4170,8693.7840
0,2020-02-24,sh.000011,6601.0320,6638.4950,6564.4870,6623.4810
0,2020-02-24,sh.000012,178.8600,178.8620,178.7830,178.8210
0,2020-02-24,sh.000013,240.9800,240.9950,240.9720,240.9930
0,2020-02-24,sh.000015,2664.4470,2668.1300,2636.8400,2656.8680
0,2020-02-24,sh.000016,2949.9780,2953.2940,2922.1620,2930.0330
0,2020-02-24,sh.000017,2558.4160,2570.5280,2541.0680,2561.2600
0,2020-02-24,sh.000018,5468.3950,5483.7390,5440.4060,5449.9130
0,2020-02-24,sh.000019,1023.9840,1025.4710,1015.4540,1019.3280
0,2020-02-24,sh.000020,1158.8030,1174.8220,1151.9680,1171.4940
0,2020-02-24,sh.000021,947.5740,949.0090,939.6490,942.2750
0,2020-02-24,sh.000022,204.8700,204.8800,204.8610,204.8800
0,2020-02-24,sh.000025,1582.7980,1586.6570,1565.6940,1569.2780
0,2020-02-24,sh.000026,2229.3750,2229.7010,2181.0670,2199.2850
0,2020-02-24,sh.000027,978.4630,978.4630,952.1850,956.6670
0,2020-02-24,sh.000028,3944.9570,3948.5230,3899.9320,3924.9620
0,2020-02-24,sh.000029,3916.9080,3926.3100,3887.3860,3892.2930
0,2020-02-24,sh.000030,2410.0780,2411.6700,2385.0010,2401.4920
0,2020-02-24,sh.000031,2889.8360,2896.1630,2870.0400,2877.9440
0,2020-02-24,sh.000032,1153.4270,1154.3760,1139.9230,1144.4560
0,2020-02-24,sh.000033,1985.5500,1985.7550,1954.5090,1976.4380
0,2020-02-24,sh.000034,2035.5200,2035.5200,2000.2300,2010.7950
